
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
15.8.27924     icecap_collectionresources                                                                                     Microsoft Corporation                              5 {469961DF-482F-4213-ACD4-4AFD443F2A88}
15.8.27924     icecap_collectionresourcesx64                                                                                  Microsoft Corporation                              5 {12246E9A-D1A6-4D96-8CEA-CCFD064B16E2}
14.0.25527     IDE Tools for Windows 10                                                                                       Microsoft Corporation                              5 {F255D538-8ECB-4ED1-9670-E195D403BCCF}
14.0.25527     IDE Tools for Windows 10 - ENU                                                                                 Microsoft Corporation                              5 {5FAE69D5-D9A7-469A-A021-2EB40F4FE0AB}
10.0.1743      IIS 10.0 Express                                                                                               Microsoft Corporation                              5 {4E0AF984-1437-42DC-A8E4-A6EE920DDFAF}
10.1.15063.674 Intellisense Lang Pack Mobile Extension SDK 10.0.15063.0                                                       Microsoft Corporation                              5 {87A8879A-3189-4E81-8D1A-0467301C5049}
15.0.17289.01  IntelliTraceProfilerProxy                                                                                      Microsoft Corporation                              5 {5F42C347-0A33-4BCE-B9D7-CCD1082C3187}
15.0.17289.01  IntelliTraceProfilerProxy                                                                                      Microsoft Corporation                              5 {ACBAA378-519A-441D-9349-C0AAD8DEAD04}
8.59.29989     LocalESPC                                                                                                      Microsoft Corporation                              5 {62910715-63E3-0AB0-0B29-99140DE1C15E}
1.0.4          Microsoft .NET Core 1.0.4 - Runtime (x64)                                                                      Microsoft Corporation                              5 {3C83FDBB-34EF-401F-AC13-F234BD57FA1A}
1.0.4          Microsoft .NET Core 1.0.4 - Runtime (x64)                                                                      Microsoft Corporation                              5 {2B1BE032-963B-4E7C-81A3-37EFBCECC89B}
4.0.21265      Microsoft .NET Core 1.0.5 - Host (x64)                                                                         Microsoft Corporation                              5 {C9A7E739-776F-4CA7-A5F5-EC6A41B6C039}
4.1.21265      Microsoft .NET Core 1.0.5 - Host FX Resolver (x64)                                                             Microsoft Corporation                              5 {D51EE501-C89E-4A85-B8DA-F35B1A4662DC}
1.0.5          Microsoft .NET Core 1.0.5 - Runtime (x64)                                                                      Microsoft Corporation                              5 {73E76099-AAE4-4CA1-8A98-ED21B18BADAA}
4.0.21306      Microsoft .NET Core 1.0.6 - Host (x64)                                                                         Microsoft Corporation                              5 {FDC82AAB-27B0-40EA-ABBF-C67AA059C51A}
4.1.21306      Microsoft .NET Core 1.0.6 - Host FX Resolver (x64)                                                             Microsoft Corporation                              5 {1F1438F4-4185-4F94-B6C5-9ADE99A963C6}
1.1.1          Microsoft .NET Core 1.1.1 - Runtime (x64)                                                                      Microsoft Corporation                              5 {5C55840C-94E5-40CB-B709-15A0F57D7637}
4.16.1480      Microsoft .NET Core 1.1.2 - Host (x64)                                                                         Microsoft Corporation                              5 {43C15BC5-2541-4D87-A4CD-A39420F4D5CB}
4.16.1514      Microsoft .NET Core 1.1.2 - Host (x64)                                                                         Microsoft Corporation                              5 {76BBB981-B9FC-4C47-BE84-9D15664F0AD6}
4.16.1480      Microsoft .NET Core 1.1.2 - Host FX Resolver (x64)                                                             Microsoft Corporation                              5 {13E61F52-ACC8-435C-A15E-75100B8CF38F}
4.16.34282     Microsoft .NET Core 1.1.2 - Host FX Resolver (x64)                                                             Microsoft Corporation                              5 {18036C39-1B1D-49C0-A560-FD1511A5C906}
1.1.2          Microsoft .NET Core 1.1.2 - Runtime (x64)                                                                      Microsoft Corporation                              5 {BFF13C15-903D-4ADB-9E18-12FEA201E075}
4.16.1560      Microsoft .NET Core 1.1.3 - Host (x64)                                                                         Microsoft Corporation                              5 {39FBD4CA-C10D-490A-A04B-3D5B98677CD8}
4.16.34328     Microsoft .NET Core 1.1.3 - Host FX Resolver (x64)                                                             Microsoft Corporation                              5 {C83D2028-6C6A-4AAC-9BB8-20441CE556B0}
1.0.23902      Microsoft .NET Core 5.0 SDK                                                                                    Microsoft Corporation                              5 {E092A9F3-15AE-46B4-9A25-6C25F7F44795}
16.0.25521     Microsoft .NET Core Host - 2.0.0 (x64)                                                                         Microsoft Corporation                              5 {CC604AD5-82F0-47C4-BC0E-635DC1092828}
16.0.25521     Microsoft .NET Core Host - 2.0.0 (x86)                                                                         Microsoft Corporation                              5 {F8F7A469-C8D6-4F73-A39D-61919451235D}
16.12.25816    Microsoft .NET Core Host - 2.0.3 (x64)                                                                         Microsoft Corporation                              5 {2961BF80-8CDD-4595-B6B4-04D5024929B1}
16.20.26021    Microsoft .NET Core Host - 2.0.5 (x64)                                                                         Microsoft Corporation                              5 {33775280-ED8A-4FAE-8773-648355259E5C}
16.24.26212    Microsoft .NET Core Host - 2.0.6 (x64)                                                                         Microsoft Corporation                              5 {8C770748-3020-4D1D-ADEB-5828560CFAA0}
16.28.26407    Microsoft .NET Core Host - 2.0.7 (x64)                                                                         Microsoft Corporation                              5 {44A0581F-4D12-4547-9D73-6239C4E24B07}
16.36.26615    Microsoft .NET Core Host - 2.0.9 (x64)                                                                         Microsoft Corporation                              5 {0B28A1DB-A543-45FB-8767-DF71EE5A9323}
