
Version         Name                                                                          Vendor                                  InstallState IdentifyingNumber                     
3.0.0.0         Microsoft ASP.NET Core 3.0.0 Shared Framework (x64)                           Microsoft Corporation                              5 {DD400CCB-B287-36CE-B998-65DF0F320F75}
3.0.0.0         Microsoft ASP.NET Core 3.0.0 Shared Framework (x86)                           Microsoft Corporation                              5 {BE73E5B2-40EE-38E2-BEF0-47BB29715E40}
3.0.0.0         Microsoft ASP.NET Core 3.0.0 Targeting Pack (x64)                             Microsoft Corporation                              5 {4117FAE7-4986-3C5D-A75E-46B2CF759C81}
12.2.18292.0    Microsoft ASP.NET Core Module for IIS Express                                 Microsoft Corporation                              5 {FAFEE5E3-E00A-4CE8-B495-8F66A5FAB236}
13.0.19213.0    Microsoft ASP.NET Core Module V2 for IIS Express                              Microsoft Corporation                              5 {C021A3B1-2F02-4BAC-8696-674CD81C26C5}
16.3.285.24939  Microsoft ASP.NET Diagnostic Pack for Visual Studio                           Microsoft Corporation                              5 {4FCD3F75-4A6B-317D-95DF-EE55999BFA35}
1.0.20910.0     Microsoft ASP.NET Web Tools Packages 16.0 - ENU                               Microsoft Corporation                              5 {110D76A4-84DA-31EB-B109-9F8D98759ABC}
2.9.8899.26     Microsoft Azure Authoring Tools - v2.9.6                                      Microsoft Corporation                              5 {EDADFA19-7F96-4075-A4AB-2209910626C5}
2.0.74          Microsoft Azure CLI                                                           Microsoft Corporation                              5 {E7DE32BB-C553-4162-957A-B8B628FEFF60}
2.9.8899.26     Microsoft Azure Compute Emulator - v2.9.6                                     Microsoft Corporation                              5 {1657ABEE-7D56-416A-B7E0-A89CC5AAD0F7}
3.0.0127.060    Microsoft Azure Libraries for .NET – v2.9                                     Microsoft Corporation                              5 {C5C91AA6-3E83-430E-8B7A-6B790083F28D}
5.7.0.18831     Microsoft Azure PowerShell - April 2018                                       Microsoft Corporation                              5 {3BA7CAA9-97BA-4528-B7E1-B640910BB149}
5.10.19227.2113 Microsoft Azure Storage Emulator - v5.10                                      Microsoft Corporation                              5 {41AC2282-F083-4495-8306-2D6ABC7D5CA2}
15.0.1300.359   Microsoft Command Line Utilities 15 for SQL Server                            Microsoft Corporation                              5 {41C0DB18-1790-465E-B0DD-D9CAA35CACBE}
15.0.847.30     Microsoft Exchange Web Services Managed API 2.1                               Microsoft Corporation                              5 {24CA683D-8174-4EBF-AD4D-3F2DD7814716}
4.74.8702       Microsoft HTML Help Workshop Package                                          Microsoft Corporation                              5 {9D5D6514-5927-42F1-92CF-D9A81D31F83D}
15.0.51105      Microsoft NetStandard SDK                                                     Microsoft Corporation                              5 {737FDDA7-B944-4CB5-92D9-3D56373BD301}
14.0.1000.169   Microsoft ODBC Driver 13 for SQL Server                                       Microsoft Corporation                              5 {76CF9EF4-ABA0-484E-8042-12B99499AF5F}
17.2.0.1        Microsoft ODBC Driver 17 for SQL Server                                       Microsoft Corporation                              5 {8D98AC2C-FC5C-440D-A2D3-6C9655F957D8}
16.0.28329.73   Microsoft Portable Library Multi-Targeting Pack                               Microsoft Corporation                              5 {B772198D-90AC-3150-9691-F840205A8CDE}
16.0.28329.73   Microsoft Portable Library Multi-Targeting Pack Language Pack - enu           Microsoft Corporation                              5 {784047C5-BB07-355E-BEAB-E7044E6F32A8}
11.3.6540.0     Microsoft SQL Server 2012 Native Client                                       Microsoft Corporation                              5 {4D2C56FF-7F36-4B49-A97A-24F0522D41D7}
13.1.4001.0     Microsoft SQL Server 2016 LocalDB                                             Microsoft Corporation                              5 {9097BF1A-13A0-4A4A-A1F8-473E2A669863}
14.0.1000.169   Microsoft SQL Server 2017 RsFx Driver                                         Microsoft Corporation                              5 {7123D29F-9197-4686-A619-C7E8EA289718}
